It's so startling to find an elven establishment here in the middle of Kraghammer.,3
We're in the market for some healing potions to start with.,3
"Level three for this one, please.",3
"I say, you're one of the most charming people we've met so far down here.",3
I look around for something that can look like a pillow for him.,2
So we head down to the mines.,1
"Oh yeah, can I look around?",2
"I just wanna see if there's anything familiar about the markings, if I can identify any signs of something mystical that's come through here.",2
I'm gonna look for tracks.,2
I want to detect magic for a while.,2
"Are we still in the dwarven carved out, sort of structure portion of the mine.",2
"Let's go further, all the way down.",1
Let's go down.,1
Can I look for goblin tracks down here and follow those?,2
Let's go down where it's dangerous.,1
Can we see?,2
Can we ask one of the guards?,2
Is it black or is it dim?,2
Does it look like they struggled?,2
Are there any scratch marks or anything like that on the walls?,2
We go further.,1
At no point does it look like the bodies ever moved?,2
But there are the drag marks all the way?,2
Are there any drafts?,2
Do I feel any wind flows or anything like that?,2
"Am I over here, or am I over here?",2
"Do we perceive anything in here with us before going that far in, yes?",2
What direction is it coming from?,2
Is the light coming from over the water?,2
The twins will creep forward.,1
"While he does that, I'm gonna go ahead and turn into a cave bear.",0
Can I stealth against the other wall?,2
What are they?,2
Do they respond to vibration?,2
Can we remember with investigation or insight?,2
I am going to shoot the one.,0
I'm gonna take a step back behind Trinket.,1
And I sing my counter-charm song.,0
I'll just throw a healing word to him.,0
"I can pull my gun and just take a shot, right?",0
I'm just gonna take one more shot at him really quick.,0
But I'm gonna throw up a fog cloud.,0
"But it screws our vision, though, doesn't it?",2
"Nevermind, I'm just gonna do a full round of attacks.",0
I'm gonna swivel my daggers around and just stab it in the face.,0
I'm gonna stab him in the face twice.,0
I would like to go into a frenzied rage.,0
I cast Dispel Magic on him.,0
I use two SP points to do quickening spell.,0
I cast Grand Column under myself.,0
"I will just step forward a little,",1
I will cast polymorph on our big friend that we're surrounding.,0
I'm gonna take one of my two actions to clear my gun.,0
I'm gonna take a fire shot.,0
I'm shooting our friend over there.,0
I'm taking him underwater.,0
Can I cast a concentration spell on myself?,2
And then I throw him into the waterfall.,0
And run up behind the shithead who's fucking with Keyleth.,1
"Well let's stab him in the ass then, right.",0
I walk up and try to help Keyleth out of the water.,0
I'm gonna attack it. WIth some arrows.,0
And I'm gonna cast lightning bolt at the thing.,0
"Taking my shot, I'm averting my eyes, so.",0
I'm gonna go ahead and also do a call lighting spell.,0
"I just lay my hands on him, and I cast Cure Wounds in a level 2 spot.",0
I cast prestidigitation and clean everybody up.,0
"I'm unscathed, so I run after Grog, just to give him backup if he needs.",1
"No, look and search around and see what's in the bedding.",2
"I'm gonna move over here, stealthily.",1
"I see, how tall is that?",2
I'll just cast stoneskin on myself.,0
I'm gonna run over.,1
Can I see anything from that point?,2
"All right, I'll run in further.",1
I'm gonna try to stealth as I'm going in.,0
